Datum,rentevoet
14/02/2014,2.36%
13/02/2014,2.35%
12/02/2014,2.37%
11/02/2014,2.37%
10/02/2014,2.35%
07/02/2014,2.32%
06/02/2014,2.35%
05/02/2014,2.27%
04/02/2014,2.29%
03/02/2014,2.28%
31/01/2014,2.30%
30/01/2014,2.38%
29/01/2014,2.39%
28/01/2014,2.41%
27/01/2014,2.41%
24/01/2014,2.41%
23/01/2014,2.46%
22/01/2014,2.49%
21/01/2014,2.46%
20/01/2014,2.44%
17/01/2014,2.48%
16/01/2014,2.52%
15/01/2014,2.57%
14/01/2014,2.58%
13/01/2014,2.61%
10/01/2014,2.66%
09/01/2014,2.66%
08/01/2014,2.62%
07/01/2014,2.63%
06/01/2014,2.66%
03/01/2014,2.68%
02/01/2014,2.68%
31/12/2013,2.68%
30/12/2013,2.69%
